&permil;Ô&Scaron;ª&permil;·?ò,§025-0304 @&Scaron;â&#x17D;è&OElig;§&permil;Ô&Scaron;ª&#x17D;s&ldquo;&rsquo;&ndash;{&lsquo;æ&circ;ê&rsquo;n&Scaron;&bdquo;125&rdquo;Ô&rsquo;n&Scaron;Ï&OElig;õ,"?º&tilde;a2&rdquo;N i1927&rdquo;N j&lsquo;n&mdash;§ B25&ndash;&oelig;&rsquo;Ø&sbquo;Ì&bull;~&rsquo;n&ndash;Ê?Ï&sbquo;Ì&rsquo;&dagger;&sbquo;É&sbquo;Í&mdash;·&Scaron;Ù&sbquo;Æ&fnof;z&fnof;e&fnof;&lsaquo;?&Dagger;&sbquo;¹&sbquo;Ä4&OElig;¬&sbquo;ª&ldquo;_?Ý&sbquo;·&sbquo;é&ldquo;&OElig;&ndash;k&mdash;L?&rdquo;&sbquo;Ì&fnof;&Scaron;&fnof;] [&fnof;g&#x17D;{?Ý B?L&lsquo;å&sbquo;È&permil;&euro;&ldquo;à&sbquo;É&sbquo;Í&permil;Ô&Scaron;ª&rdquo;ª&OElig;i&sbquo;É&lsquo;I&sbquo;Î&sbquo;ê&sbquo;½ u&Scaron;&tilde;&bull;£&sbquo;Ì&lsquo;ê v&sbquo;ð&sbquo;Í&sbquo;¶&sbquo;ß A450&#x17D;í6,000&Scaron;&rdquo;&sbquo;Ì&fnof;o&fnof;&permil;&sbquo;ª?ç&sbquo;«&OElig;Ö&sbquo;é u&permil;Ô&Scaron;ª&permil;·?ò @&fnof;o&fnof;&permil;&permil;&euro; v&sbquo;à&sbquo; &sbquo;è&sbquo;Ü&sbquo;· B&sbquo;Ü&sbquo;½&permil;Ô&Scaron;ª&permil;·?ò&sbquo;É&sbquo;Í&lsquo;½&sbquo;­&sbquo;Ì&bull;¶&permil;»?l&sbquo;ª&ndash;K&sbquo;ê A&sbquo;·&sbquo;Î&sbquo;ç&sbquo;µ&sbquo;¢&OElig;i&Scaron;Ï&sbquo;ð&#x17D;]&sbquo;¦&sbquo;Ä&permil;r&sbquo;ñ&sbquo;¾&lsaquo;å&sbquo;â&permil;Ì&sbquo;ð&sbquo;½&sbquo;­&sbquo;³&sbquo;ñ&#x17D;c&sbquo;µ&sbquo;Ä&sbquo;¨&sbquo;è A&#x17D;U?ô&fnof;R [&fnof;X&sbquo;Æ&sbquo;µ&sbquo;Ä?®&rdquo;õ&sbquo;³&sbquo;ê A&#x17D;?&rdquo;è&sbquo;ß&sbquo;®&sbquo;è&sbquo;ð&Scaron;y&sbquo;µ&sbquo;Þ&sbquo;±&sbquo;Æ&sbquo;à?o&mdash;&circ;&sbquo;Ü&sbquo;· B?÷&bull;À&ndash;Ø&sbquo;â&fnof;o&fnof;&permil; A?H&sbquo;Ì?g&mdash;t&sbquo;È&sbquo;Ç&#x17D;l&lsaquo;G?Ü X&sbquo;Ì&OElig;i&Scaron;Ï&sbquo;ð&OElig;©&sbquo;¹&sbquo;é&permil;Ô&Scaron;ª&permil;·?ò&sbquo;Í A?&lsquo;&ldquo;à&Scaron;O&sbquo;©&sbquo;ç&ndash;K&sbquo;ê&sbquo;é&lsquo;½&sbquo;­&sbquo;Ì&Scaron;Ï&OElig;õ&lsaquo;q&sbquo;É&sbquo;­&sbquo;Â&sbquo;ë&sbquo;¬&sbquo;Ì&sbquo;Ð&sbquo;Æ&#x17D;&#x17E;&sbquo;ð&rsquo;ñ&lsaquo;&Yuml;&sbquo;µ&sbquo;Ä&sbquo;¨&sbquo;è&sbquo;Ü&sbquo;· B"
小岩井農場まきば園,〒020-0507　岩手県岩手郡雫石町丸谷地36-1観光,小岩井農場の一部は観光用に公開され，まきば園は目前に岩手山を仰ぎ見る，農場のほぼ中央にある広場。牧羊犬や羊たちによるひつじショーや乗馬・アーチェリー・トロ馬車などが楽しめ，さらに牛舎や乳業工場も見学できる。このほかサイロの形をした展望塔のある牧場館にレストラン施設や売店があり，名物ジンギスカンや新鮮な牛乳などが味わえる。
中尊寺金色堂,〒029-4102　岩手県西磐井郡平泉町平泉字衣関202観光,世界文化遺産、国宝第１号。方三間の阿弥陀堂で内外を黒漆で塗り、その上に金箔で押したため、金色堂とよばれている。内部の長押、柱、須弥壇には金蒔絵、極彩色が施され、要所は宝相華文を透し彫りにした金具で装飾されている。
賢治の学校（宮沢賢治童話村）,〒025-0014　岩手県花巻市高松26-19観光,賢治童話の世界で楽しく遊ぶ「楽習」施設で，「ファンタジックホール」「宇宙」「天空」「大地」「水」の５つの部屋に分かれている。
新鉛温泉　愛隣館,〒025-0252　岩手県花巻市西鉛23観光,鉛温泉の上流300m。豊沢川の最奥に湧く静かな山の湯。旅館は信楽焼露天風呂など17の浴槽や岩盤浴もある。ここのお湯は飲むこともでき，糖尿病や便秘症に効く。
小岩井農場,〒020-0507　岩手県岩手郡雫石町丸谷地36-1観光,明治24年創業のわが国唯一の民間総合農場であり日本最大の民間総合農場。約900万坪の広大な敷地面積を誇る。小岩井は、地名ではなく、共同創始者3名（小野／岩崎／井上）の姓の頭文字をとり「小岩井」農場と名づけられた。メイン施設のまきば園では、牧羊犬や羊たちによるひつじショー、バター作りやアトラクションやアスレチック遊具でも遊べる。自然とふれあう体験メニューがたくさん。農場自慢のチーズケーキや乳製品も味わえる。レストランでは、とれたての乳製品を使って作った美味しさ絶品のソフトクリームや、卵料理が堪能できる。
鉛温泉　藤三旅館,〒025-0252　岩手県花巻市鉛中平７５−１,すべての基本情報を見る
宮沢賢治記念館,〒025-0011　岩手県花巻市矢沢1-1-36観光,宮沢賢治の散策の地であり，「経理ムべキ山」の一つにあげていた胡四王山の頂上に，全国の賢治ファンからの寄付金を基に建てられた。詩人・科学者・教育者としての賢治の思想と多彩な活動を７部門にわけて視聴覚的に再現している。
つなぎ温泉,〒020-0055　岩手県盛岡市繋字湯ノ館観光,盛岡インターから車で10分、市の中心部からも20分余りの距離にあり「盛岡の奥座敷」とよばれるつなぎ温泉は、平安末期、前九年の役のさなかにここに本陣を置いた源義家が発見したと伝わる由緒ある温泉です。温泉郷の周辺には広大な自然を利用した観光施設や名所も集中しており、温泉を基地にしたレジャーも魅力。すぐ近くの盛岡手づくり村や小岩井農場などは親子連れにもおすすめです。
盛岡手づくり村,〒020-0055　岩手県盛岡市繋字尾入野64-102観光,盛岡の観光や地場産業を学べる「展示資料室（１００円）」が見所。手づくり工房は１１業種１５工房で構成され、南部煎餅・竹細工・わら細工・陶器・家具・木工玩具・染物・お菓子・盛岡冷麺など職人が伝統的な手法で実際につくる「芸と技」を間近で見ることができます。また、個人や団体で手づくりを楽しまれたい方には「手づくり教室」が開催されており職人が直接指導にあたります。それぞれ作るものにより６０〜９０分かかる。また南部鉄器、織・染物、食品、菓子など３５００種類をこえる盛岡土産を展示、販売しています。
達谷西光寺,〒029-4102　岩手県西磐井郡平泉町平泉字北澤16番地観光,蝦夷の頭悪路王等を、桓武天皇の詔を奉じた征夷大将軍坂上田村麻呂が滅ぼし、洞窟に毘沙門堂を建立した。
厳美渓,〒021-0101　岩手県一関市厳美町観光,岩手県の磐井川沿いにある渓谷。磐井川が巨岩を浸食し、２ｋｍにわたり渓谷美を見せる。渓流をはわんだ対岸のお茶屋からだんごとお茶を買う「郭公だんご」が名物。吊り橋から眺める蒸留の荒々しい流れと下流のゆったりした淵が対象的。甌穴が見せる渓流美が美しい。名勝天然記念物指定。紅葉の見頃は１０月中旬〜１１月中旬。
鴬宿温泉,〒020-0574　岩手県岩手郡雫石町鶯宿温泉観光,"雫石川の支流鴬宿川にのぞむおよそ450年の歴史を誇る古湯。鴬（うぐいす）が足の傷を湯で治したという伝説により名づく。盛岡の奥座敷として知られ、約2kmにわたって旅館・ホテルが立ち並ぶ。単純硫化水素泉62度，56,7度。"
志戸平温泉,〒025-0244　岩手県花巻市湯口字志戸平26観光,豊沢川の渓流沿いに建つ、1200年前に発見されたと言われる温泉のひとつ。3つの源泉と20種類のお風呂が楽しめる近代的な大型ホテルと、全室源泉かけ流し露天風呂付の温泉リゾート旅館の2軒。また、室内プールやウォータスライダー、ペットハウスなどもある。
