太宰府天満宮,〒818-0117,福岡県太宰府市宰府4-7-1
キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉１丁目２-２５
マリノアシティ福岡,〒819-0001,福岡県福岡市西区小戸2-12-30
博多駅,〒812-0012,福岡市博多区中央街
マリンワールド海の中道,〒811-0321,福岡県福岡市東区西戸崎18-28
天神地下街,〒810-0001,福岡県福岡市中央区天神1-6-8
福岡タワー,〒814-0001,福岡県福岡市早良区百道浜2-3-26
大濠公園,〒810-0051,福岡県福岡市中央区大濠公園
スペースワールド,〒805-0002,福岡県北九州市八幡東区東田４−１−１
小倉城,〒803-0813,福岡県北九州市小倉北区城内2-1 勝山公園内
屋台,〒810-0801,福岡県福岡市内各所
柳川川下り,〒832-0001,福岡県柳川市
門司港レトロ,,福岡県北九州市門司区
門司港駅,〒801-0841,福岡県北九州市門司区西海岸1-5-31
櫛田神社,〒812-0001,福岡県福岡市博多区上川端1-41
中洲,〒812-0001,福岡県福岡市博多区中州
ヤフオク！ドーム,〒810-8660,福岡県 福岡市 中央区 知行浜2丁目2番2号
東長寺,〒812-0037,福岡県福岡市博多区御供所町2-4
九州国立博物館,〒818-0118,福岡県太宰府市石坂4-7-2
道の駅,,原鶴 福岡県朝倉市杷木久喜宮1665-1
ホークスタウン,〒810-0001,福岡県福岡市中央区
道の駅うきは,〒839-1408,福岡県うきは市浮羽町山北729-2 道の駅うきは
チャチャタウン小倉,〒802-0014,福岡県北九州市小倉北区砂津3-1-1
旦過市場,〒802-0006,福岡県北九州市小倉北区魚町４丁目１-２６
アミュプラザ小倉,〒802-0001,福岡県北九州市小倉北区浅野1-1-1
九州鉄道記念館,〒801-0833,福岡県北九州市門司区清滝２-３-２９
博多座,〒812-0027,福岡県福岡市博多区下川端町2-1
筑紫野 天拝の郷,〒818-0053,福岡県筑紫野市天拝坂２丁目4-3
海峡ドラマシップ,〒801-0841,福岡県北九州市門司区西海岸1-3-3
福岡市博物館,〒814-0001,福岡県福岡市早良区百道浜3-1-1
筥崎宮,〒812-0053,福岡県福岡市東区箱崎1-22-1
門司港レトロ海峡プラザ,〒801-0852,福岡県北九州市門司区港町５番１号
かしいかえん シルバニアガーデン,〒813-0001,福岡県福岡市東区香佐ヶ丘7-2-1
道の駅,「豊前おこしかけ」,〒828-0011,福岡県豊前市大字四郎丸1041-1
ベイサイドプレイス博多埠頭,〒812-0021,福岡県福岡市博多区築港本町１３-６
皿倉山,〒805-0059,福岡県北九州市八幡東区
海の中道海浜公園,〒811-0321,福岡県福岡市東区西戸崎18-25
キリンビール福岡工場,〒838-8686,福岡県 朝倉市 馬田 3601
宮地嶽神社,〒811-3305,福岡県福津市宮司元町7-1
福岡市動植物園,〒810-0037,福岡県福岡市中央区南公園1-1
水田天満宮（恋木神社）,〒833-0027,福岡県筑後市水田62-1
八坂神社,〒803-0813,福岡県北九州市小倉北区城内２-２勝山公園内
門司港レトロ展望室,〒801-0853,福岡県北九州市門司区東港町1-32
警固神社,〒810-0001,福岡県福岡市中央区天神2-2-20
宗像大社（辺津宮）,〒811-3505,福岡県宗像市田島
北九州市立いのちのたび博物館,〒805-0071,福岡県北九州市八幡東区東田２−４−１
アクロス福岡,〒810-0001,福岡県福岡市中央区天神1-1-1
無印良品キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉1-2-1 シアタービル3・4階
筑前町立大刀洗平和記念館,〒838-0814,福岡県朝倉郡筑前町高田2561-1
福岡PARCO,〒801-0001,福岡県 福岡市 中央区天神2丁目11-1
