太宰府天満宮,〒818-0117　福岡県太宰府市宰府4-7-1観光
キャナルシティ博多,〒812-0018　福岡県福岡市博多区住吉１丁目２-２５観光
マリノアシティ福岡,〒819-0001　福岡県福岡市西区小戸2-12-30観光
博多駅,〒812-0012　福岡市　博多区　中央街観光
マリンワールド海の中道,〒811-0321　福岡県福岡市東区西戸崎18-28観光
天神地下街,〒810-0001　福岡県福岡市中央区天神1-6-8観光
福岡タワー,〒814-0001　福岡県福岡市早良区百道浜2-3-26観光
大濠公園,〒810-0051　福岡県福岡市中央区大濠公園観光
スペースワールド,〒805-0002　福岡県北九州市八幡東区東田４−１−１観光
小倉城,〒803-0813　福岡県北九州市小倉北区城内2-1 勝山公園内観光
屋台,〒810-0801　福岡県福岡市内各所観光
柳川川下り,〒832-0001　福岡県柳川市観光
門司港レトロ,福岡県北九州市門司区観光
門司港駅,〒801-0841　福岡県北九州市門司区西海岸1-5-31観光
櫛田神社,〒812-0001　福岡県福岡市博多区上川端1-41観光
中洲,〒812-0001　福岡県福岡市博多区中州観光
ヤフオク！ドーム,〒810-8660　福岡県 福岡市 中央区　知行浜2丁目2番2号観光
東長寺,〒812-0037　福岡県福岡市博多区御供所町2-4観光
九州国立博物館,〒818-0118　福岡県太宰府市石坂4-7-2観光
道の駅　原鶴,福岡県朝倉市杷木久喜宮1665-1観光
ホークスタウン,〒810-0001　福岡県福岡市中央区観光
道の駅うきは,〒839-1408　福岡県うきは市浮羽町山北729-2 道の駅うきは観光
チャチャタウン小倉,〒802-0014　福岡県北九州市小倉北区砂津3-1-1観光
旦過市場,〒802-0006　福岡県北九州市小倉北区魚町４丁目１-２６観光
アミュプラザ小倉,〒802-0001　福岡県北九州市小倉北区浅野1-1-1観光
九州鉄道記念館,〒801-0833　福岡県北九州市門司区清滝２-３-２９
博多座,〒812-0027　福岡県福岡市博多区下川端町2-1観光
筑紫野　天拝の郷,〒818-0053　福岡県筑紫野市天拝坂２丁目4-3観光
海峡ドラマシップ,〒801-0841　福岡県北九州市門司区西海岸1-3-3観光
福岡市博物館,〒814-0001　福岡県福岡市早良区百道浜3-1-1観光
筥崎宮,〒812-0053　福岡県福岡市東区箱崎1-22-1観光
門司港レトロ海峡プラザ,〒801-0852　福岡県北九州市門司区港町５番１号観光
かしいかえん　シルバニアガーデン,〒813-0001　福岡県福岡市東区香佐ヶ丘7-2-1観光
道の駅　「豊前おこしかけ」,〒828-0011　福岡県豊前市大字四郎丸1041-1観光
ベイサイドプレイス博多埠頭,〒812-0021　福岡県福岡市博多区築港本町１３-６観光
皿倉山,〒805-0059　福岡県北九州市八幡東区観光
海の中道海浜公園,〒811-0321　福岡県福岡市東区西戸崎18-25観光
キリンビール福岡工場,〒838-8686　福岡県 朝倉市 馬田 3601観光
宮地嶽神社,〒811-3305　福岡県福津市宮司元町7-1観光
福岡市動植物園,〒810-0037　福岡県福岡市中央区南公園1-1観光
水田天満宮（恋木神社）,〒833-0027　福岡県筑後市水田62-1観光
八坂神社,〒803-0813　福岡県北九州市小倉北区城内２-２勝山公園内観光
門司港レトロ展望室,〒801-0853　福岡県北九州市門司区東港町1-32観光
警固神社,〒810-0001　福岡県福岡市中央区天神2-2-20観光
宗像大社（辺津宮）,〒811-3505　福岡県宗像市田島観光
北九州市立いのちのたび博物館,〒805-0071　福岡県北九州市八幡東区東田２−４−１観光
アクロス福岡,〒810-0001　福岡県福岡市中央区天神1-1-1観光
無印良品キャナルシティ博多,〒812-0018　福岡県福岡市博多区住吉1-2-1　シアタービル3・4階観光
筑前町立大刀洗平和記念館,〒838-0814　福岡県朝倉郡筑前町高田2561-1観光
福岡PARCO,〒801-0001　福岡県 福岡市 中央区天神2丁目11-1観光
天神西通り,〒810-0001　福岡県福岡市中央区天神観光
のこのしまアイランドパーク,〒819-0012　福岡県福岡市西区能古1624観光
博多リバレイン,〒812-0027　福岡県福岡市博多区下川端町３-１観光
福岡市鮮魚市場市場会館,〒810-0072　福岡県福岡市中央区長浜3-11-3観光
原鶴温泉,〒838-1521　福岡県朝倉市観光
二日市温泉,〒818-0058　福岡県筑紫野市湯町観光
皿倉山展望台,〒805-0001　福岡県北九州市八幡東区観光
福岡城跡,〒810-0043　福岡県福岡市中央区城内観光
白糸の滝,〒819-1154　福岡県糸島市白糸460-1観光
シーサイドももち海浜公園,〒814-0001　福岡県福岡市中央区地行浜2地先〜早良区百道浜2〜4地先観光
松本清張記念館,〒803-0813　福岡県北九州市小倉北区城内2-3 勝山公園内観光
福岡アジア美術館,〒812-0027　福岡県福岡市博多区下川端町3-1 博多リバレインリバーサイド7・8F観光
勝山公園,〒803-0813　福岡県北九州市小倉北区城内観光
北九州市旧大阪商船,〒801-0852　福岡県北九州市門司区港町7-18観光
ブルーウィングもじ,〒801-0852　福岡県北九州市門司区港町観光
アサヒビール博多工場,〒816-0095　福岡県福岡市博多区竹下3-1-1観光
住吉神社,〒812-0018　福岡県福岡市博多区住吉3-1-51観光
JR博多シティ,〒812-0012　福岡県福岡市博多区博多駅中央街1番1号（博多駅直結）
大宰府政庁跡,〒818-0101　福岡県太宰府市観世音寺観光
英彦山神宮,〒824-0721　福岡県田川郡添田町英彦山観光
平尾台,〒803-0186　福岡県北九州市小倉南区大字新道寺・（行橋市）観光
筑後川,〒839-1405　福岡県朝倉市観光
秋月城跡の桜,〒838-0011　福岡県朝倉市秋月町野鳥観光
道の駅いとだ　おじゅごんち市場からすお,〒822-1326　福岡県田川郡糸田町１６２番地４
竈門神社,〒818-0115　福岡県太宰府市内山883観光
北九州市旧門司三井倶楽部,〒801-0852　福岡県北九州市門司区港町7-1観光
三岳梅林,〒803-0263　福岡県北九州市小倉南区大字辻三観光
久留米成田山,〒830-0052　福岡県久留米市上津町1386-22観光
立花ワイン株式会社,〒834-0082　福岡県八女市立花町兼松726観光
筑後川温泉,〒839-1405　福岡県うきは市古川観光
舞鶴公園のさくら,〒810-0043　福岡県福岡市中央区城内観光
香椎宮,〒813-0011　福岡県福岡市東区香椎4-16-1観光
東平尾公園（博多の森）,〒816-0052　福岡県福岡市博多区東平尾公園2-1-2観光
からたち文人の足湯,〒832-0057　福岡県柳川市弥四郎町9観光
天満宮の梅,〒818-0117　福岡県太宰府市宰府４-７-１観光
志摩物産直売所「志摩の四季」,〒819-1311　福岡県糸島市志摩津和崎33-1観光
西公園のさくら,〒810-0001　福岡県福岡市中央区観光
恋ぼたる　温泉館,〒833-0014　福岡県筑後市大字尾島298-2
星の温泉館「きらら」,〒834-0201　福岡県八女市星野村10780-1観光
筥崎宮神苑花庭園,〒812-0053　福岡県福岡市東区箱崎1-22-1観光
大牟田市動物園,〒836-0871　福岡県大牟田市昭和町１６３番地観光
石橋美術館,〒839-0862　福岡県久留米市野中町1015観光
楽水園,〒812-0018　福岡県福岡市博多区住吉2-10-7観光
到津の森公園,〒803-0845　福岡県北九州市小倉北区上到津４-１-８
