キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉１丁目２-２５
博多駅,〒812-0012,福岡市 博多区 中央街
マリノアシティ福岡,〒819-0001,福岡県福岡市西区小戸2-12-30
マリンワールド海の中道,〒811-0321,福岡県福岡市東区西戸崎18-28
天神地下街,〒810-0001,福岡県福岡市中央区天神1-6-8
福岡タワー,〒814-0001,福岡県福岡市早良区百道浜2-3-26
大濠公園,〒810-0051,福岡県福岡市中央区大濠公園
屋台,〒810-0801,福岡県福岡市内各所
中洲,〒812-0001,福岡県福岡市博多区中州
櫛田神社,〒812-0001,福岡県福岡市博多区上川端1-41
ヤフオク！ドーム,〒810-8660,福岡県 福岡市 中央区 知行浜2丁目2番2号
東長寺,〒812-0037,福岡県福岡市博多区御供所町2-4
ホークスタウン,〒810-0001,福岡県福岡市中央区
博多座,〒812-0027,福岡県福岡市博多区下川端町2-1
福岡市博物館,〒814-0001,福岡県福岡市早良区百道浜3-1-1
筥崎宮,〒812-0053,福岡県福岡市東区箱崎1-22-1
かしいかえん シルバニアガーデン,〒813-0001,福岡県福岡市東区香佐ヶ丘7-2-1
ベイサイドプレイス博多埠頭,〒812-0021,福岡県福岡市博多区築港本町１３-６
海の中道海浜公園,〒811-0321,福岡県福岡市東区西戸崎18-25
福岡市動植物園,〒810-0037,福岡県福岡市中央区南公園1-1
警固神社,〒810-0001,福岡県福岡市中央区天神2-2-20
アクロス福岡,〒810-0001,福岡県福岡市中央区天神1-1-1
無印良品キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉1-2-1 シアタービル3・4階
天神西通り,〒810-0001,福岡県福岡市中央区天神
のこのしまアイランドパーク,〒819-0012,福岡県福岡市西区能古1624
博多リバレイン,〒812-0027,福岡県福岡市博多区下川端町３-１
アサヒビール博多工場,〒816-0095,福岡県福岡市博多区竹下3-1-1
福岡市鮮魚市場市場会館,〒810-0072,福岡県福岡市中央区長浜3-11-3
福岡城跡,〒810-0043,福岡県福岡市中央区城内
シーサイドももち海浜公園,〒814-0001,福岡県福岡市中央区地行浜2地先〜早良区百道浜2〜4地先
福岡アジア美術館,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレインリバーサイド7・8F
住吉神社,〒812-0018,福岡県福岡市博多区住吉3-1-51
JR博多シティ,〒812-0012,福岡県福岡市博多区博多駅中央街1番1号（博多駅直結）
LOFT,〒810-0004,福岡県福岡市中央区渡辺通4-9-25
舞鶴公園のさくら,〒810-0043,福岡県福岡市中央区城内
香椎宮,〒813-0011,福岡県福岡市東区香椎4-16-1
東平尾公園（博多の森）,〒816-0052,福岡県福岡市博多区東平尾公園2-1-2
西公園のさくら,〒810-0001,福岡県福岡市中央区
筥崎宮神苑花庭園,〒812-0053,福岡県福岡市東区箱崎1-22-1
楽水園,〒812-0018,福岡県福岡市博多区住吉2-10-7
志賀島,〒813-0001,福岡県福岡市東区
愛宕神社,〒819-0015,福岡県福岡市西区愛宕2-7-1
能古島,〒819-0012,福岡県福岡市西区
海の中道,〒813-0001,福岡県福岡市東区
