かしいかえん シルバニアガーデン,〒813-0001,福岡県福岡市東区香佐ヶ丘7-2-1,no,no
JR博多シティ,〒812-0012,福岡県福岡市博多区博多駅中央街1番1号（博多駅直結）,no,no
エバーグリーンマリノア大観覧車,〒819-0001,福岡県福岡市西区小戸2-12-43 エバーグリーンマリノア,no,no
油山牧場,〒811-1353,福岡県福岡市南区柏原西山田710-2,no,no
キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉１丁目２-２５,33.5895049,130.4117453
博多駅,〒812-0012,福岡市 博多区 中央街,33.591341,130.4215222
マリノアシティ福岡,〒819-0001,福岡県福岡市西区小戸2-12-30,33.5943686,130.322752
マリンワールド海の中道,〒811-0321,福岡県福岡市東区西戸崎18-28,33.6612632,130.3633244
天神地下街,〒810-0001,福岡県福岡市中央区天神1-6-8,33.5895436,130.4005711
福岡タワー,〒814-0001,福岡県福岡市早良区百道浜2-3-26,33.59325,130.351472
大濠公園,〒810-0051,福岡県福岡市中央区大濠公園,33.5901515,130.3737592
屋台,〒810-0801,福岡県福岡市内各所,33.5903547,130.4017155
中洲,〒812-0001,福岡県福岡市博多区中州,33.5925017,130.4063956
櫛田神社,〒812-0001,福岡県福岡市博多区上川端1-41,33.5929962,130.4104897
ヤフオク！ドーム,〒810-8660,福岡県 福岡市 中央区 知行浜2丁目2番2号,33.5892157,130.3928134
東長寺,〒812-0037,福岡県福岡市博多区御供所町2-4,33.5948461,130.4144533
ホークスタウン,〒810-0001,福岡県福岡市中央区,33.5892157,130.3928134
博多座,〒812-0027,福岡県福岡市博多区下川端町2-1,33.5957958,130.4059289
福岡市博物館,〒814-0001,福岡県福岡市早良区百道浜3-1-1,33.5897847,130.3530663
筥崎宮,〒812-0053,福岡県福岡市東区箱崎1-22-1,33.6145192,130.4222298
ベイサイドプレイス博多埠頭,〒812-0021,福岡県福岡市博多区築港本町１３-６,33.6038531,130.3987989
海の中道海浜公園,〒811-0321,福岡県福岡市東区西戸崎18-25,33.66076049999999,130.3587248
福岡市動植物園,〒810-0037,福岡県福岡市中央区南公園1-1,33.5728164,130.39236
警固神社,〒810-0001,福岡県福岡市中央区天神2-2-20,33.5877882,130.3999212
アクロス福岡,〒810-0001,福岡県福岡市中央区天神1-1-1,33.5914712,130.4023487
無印良品キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉1-2-1 シアタービル3・4階,33.5907714,130.4106092
天神西通り,〒810-0001,福岡県福岡市中央区天神,33.5902074,130.3976602
のこのしまアイランドパーク,〒819-0012,福岡県福岡市西区能古1624,33.6313726,130.3018252
博多リバレイン,〒812-0027,福岡県福岡市博多区下川端町３-１,33.5952014,130.4058512
アサヒビール博多工場,〒816-0095,福岡県福岡市博多区竹下3-1-1,33.5709459,130.4309056
福岡市鮮魚市場市場会館,〒810-0072,福岡県福岡市中央区長浜3-11-3,33.5947039,130.3896192
福岡城跡,〒810-0043,福岡県福岡市中央区城内,33.584705,130.3807227
シーサイドももち海浜公園,〒814-0001,福岡県福岡市中央区地行浜2地先〜早良区百道浜2〜4地先,33.591304,130.3611545
福岡アジア美術館,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレインリバーサイド7・8F,33.595457,130.4056262
住吉神社,〒812-0018,福岡県福岡市博多区住吉3-1-51,33.5859192,130.4137368
LOFT,〒810-0004,福岡県福岡市中央区渡辺通4-9-25,33.5869495,130.4015794
舞鶴公園のさくら,〒810-0043,福岡県福岡市中央区城内,33.584705,130.3807227
香椎宮,〒813-0011,福岡県福岡市東区香椎4-16-1,33.6528405,130.4521652
東平尾公園（博多の森）,〒816-0052,福岡県福岡市博多区東平尾公園2-1-2,33.5847658,130.4647612
西公園のさくら,〒810-0001,福岡県福岡市中央区,33.5892157,130.3928134
筥崎宮神苑花庭園,〒812-0053,福岡県福岡市東区箱崎1-22-1,33.6145192,130.4222298
楽水園,〒812-0018,福岡県福岡市博多区住吉2-10-7,33.586933,130.413423
志賀島,〒813-0001,福岡県福岡市東区,33.6177464,130.4173912
愛宕神社,〒819-0015,福岡県福岡市西区愛宕2-7-1,33.5856206,130.3348411
能古島,〒819-0012,福岡県福岡市西区,33.582939,130.3231186
海の中道,〒813-0001,福岡県福岡市東区,33.6177464,130.4173912
友泉亭公園,〒814-0122,福岡県福岡市城南区友泉亭1-46,33.56255180000001,130.3762485
マリノア,〒819-0001,福岡県福岡市西区小戸,33.58861330000001,130.3143859
福岡アンパンマンこどもミュージアムinモール,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン5・6階,33.5956863,130.4065766
似顔絵屋,〒812-0018,福岡県福岡市博多区住吉1-2-1 キャナルシティ博多,33.5897736,130.4106379
「博多町家」ふるさと館,〒812-0039,福岡県福岡市博多区冷泉町6-10,33.5937281,130.411474
川端通り商店街,〒812-0001,福岡県福岡市博多区,33.59135759999999,130.4148783
マリンメッセ福岡,〒812-0031,福岡市博多区沖浜町7-1,33.6074111,130.4022179
脊振山,〒811-1113,福岡県福岡市（佐賀県）,33.5343873,130.4175254
福岡市美術館,〒810-0051,福岡県福岡市中央区大濠公園1-6,33.5839225,130.379813
櫛田神社の大イチョウ,〒812-0026,福岡県福岡市博多区上川端町1-41,33.5929962,130.4104897
福岡ドーム THE BIG LIFE,〒810-8660,福岡県福岡市中央区地行浜2-2-2 福岡ドーム内,33.5951842,130.3619238
福岡市民防災センター,〒814-0001,福岡県福岡市早良区百道浜１−３−３,33.5894403,130.35498
博多百年蔵,〒812-0043,福岡県福岡市博多区堅粕1-30-1,33.5988875,130.417689
天神中央公園,〒810-0002,福岡県福岡市中央区天神1-1,33.5907269,130.402757
花乱の滝,〒814-0001,福岡県福岡市早良区,33.5819411,130.3484363
ナイキファクトリーストア ホークスタウン,〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウン内,33.5931428,130.3636599
東公園,〒812-0045,福岡県福岡市博多区東公園,33.6057674,130.4218107
油山,〒811-1111,福岡県福岡市,33.5903547,130.4017155
